Area,AreaCode,AreaCode2,Grain,Year,Month,LPrice,HPrice
AH,001,,BO,1748, 9, 98,150
AH,001,,BO,1748,10, 98,150
AH,001,,BO,1748,11, 98,150
AH,001,,BO,1748,12, 98,150
AH,001,,BO,1749, 1, 98,152
AH,001,,BO,1749, 2, 99,155
AH,001,,BO,1749, 3,101,157
AH,001,,BO,1749, 4,101,155
AH,001,,BO,1749, 5,102,150
AH,001,,BO,1749, 6,102,150
AH,001,,BO,1749, 7,102,150
AH,001,,BO,1749, 8,102,150
AH,001,,BO,1749, 9,102,150
AH,001,,BO,1749,10,102,150
AH,001,,BO,1749,11,102,150
AH,001,,BO,1749,12,102,150
AH,001,,BO,1750, 1,102,150
AH,001,,BO,1750, 2,102,150
AH,001,,BO,1750, 3,102,150
AH,001,,BO,1750, 4,102,150
AH,001,,BO,1750, 5,102,150
AH,001,,BO,1750, 6,102,150
AH,001,,BO,1750, 7,102,150
AH,001,,BO,1750, 8,102,150
AH,001,,BO,1750, 9,102,150
AH,001,,BO,1750,10,107,150
AH,001,,BO,1750,11,107,150
AH,001,,BO,1750,12,107,150
AH,001,,BO,1751, 5,114,155
AH,001,,BO,1751, 6,120,155
AH,001,,BO,1751, 7,120,156
AH,001,,BO,1751, 8,120,160
AH,001,,BO,1751, 9,120,160
AH,001,,BO,1751,10,120,160
AH,001,,BO,1751,11,120,160
AH,001,,BO,1751,12,120,160
AH,001,,BO,1752, 1,123,160
AH,001,,BO,1752, 2,128,160
AH,001,,BO,1752, 3,130,163
AH,001,,BO,1752, 4,133,165
AH,001,,BO,1752, 5,135,165
AH,001,,BO,1752, 6,135,165
AH,001,,BO,1752, 7,135,165
AH,001,,BO,1752, 8,135,165
AH,001,,BO,1752, 9,135,165
AH,001,,BO,1752,10,135,161
AH,001,,BO,1752,11,135,160
AH,001,,BO,1752,12,135,160
AH,001,,BO,1753, 1,135,160
AH,001,,BO,1753, 2,135,160
AH,001,,BO,1753, 3,135,160
AH,001,,BO,1753, 4,138,160
AH,001,,BO,1753, 5,138,160
AH,001,,BO,1753, 6,138,160
AH,001,,BO,1753, 7,130,161
AH,001,,BO,1753, 8,130,170
AH,001,,BO,1753, 9,130,170
AH,001,,BO,1753,10,130,170
AH,001,,BO,1753,11,130,171
AH,001,,BO,1753,12,130,171
AH,001,,BO,1754, 1,130,165
AH,001,,BO,1754, 2,130,165
AH,001,,BO,1754, 3,130,165
AH,001,,BO,1754, 4,130,165
AH,001,,BO,1754, 5,130,165
AH,001,,BO,1754, 6,130,163
AH,001,,BO,1754, 7,128,160
AH,001,,BO,1754, 8,125,160
AH,001,,BO,1754, 9,128,160
AH,001,,BO,1754,10,132,160
AH,001,,BO,1754,11,131,160
AH,001,,BO,1754,12,130,160
AH,001,,BO,1755, 1,130,160
AH,001,,BO,1755, 2,130,160
AH,001,,BO,1755, 3,130,160
AH,001,,BO,1755, 4,130,160
AH,001,,BO,1755, 5,130,160
AH,001,,BO,1755, 6,130,160
AH,001,,BO,1755,11,130,160
AH,001,,BO,1755,12,130,160
AH,001,,BO,1756, 1,130,160
AH,001,,BO,1756, 2,130,160
AH,001,,BO,1756, 3,142,161
AH,001,,BO,1756, 4,142,181
AH,001,,BO,1756, 5,144,199
AH,001,,BO,1756, 6,143,190
AH,001,,BO,1756, 7,140,190
AH,001,,BO,1756, 8,140,186
AH,001,,BO,1756, 9,136,165
AH,001,,BO,1756,10,121,147
AH,001,,BO,1756,11,121,140
AH,001,,BO,1756,12,120,140
AH,001,,BO,1757, 1,120,140
AH,001,,BO,1757, 5,130,150
AH,001,,BO,1757, 6,128,150
AH,001,,BO,1757, 7,122,145
AH,001,,BO,1757, 8,120,140
AH,001,,BO,1757, 9,120,140
AH,001,,BO,1757,10,120,140
AH,001,,BO,1757,11,120,140
AH,001,,BO,1757,12,120,140
AH,001,,BO,1758, 1,124,140
AH,001,,BO,1758, 2,125,140
AH,001,,BO,1758, 3,125,147
AH,001,,BO,1758, 4,125,150
AH,001,,BO,1758, 5,123,146
AH,001,,BO,1758, 6,120,141
AH,001,,BO,1758, 7,120,140
AH,001,,BO,1758, 8,120,145
AH,001,,BO,1758, 9,120,140
AH,001,,BO,1758,10,120,140
AH,001,,BO,1758,11,120,140
AH,001,,BO,1758,12,122,140
AH,001,,BO,1759, 1,122,140
AH,001,,BO,1759, 2,120,141
AH,001,,BO,1759, 3,120,160
AH,001,,BO,1759, 4,119,160
AH,001,,BO,1759, 5,115,160
AH,001,,BO,1759, 6,115,160
AH,001,,BO,1759, 7,115,160
AH,001,,BO,1759, 8,115,160
AH,001,,BO,1759, 9,115,160
AH,001,,BO,1759,10,115,160
AH,001,,BO,1759,11,119,160
AH,001,,BO,1759,12,125,160
AH,001,,BO,1760, 1,128,160
AH,001,,BO,1760, 2,130,160
AH,001,,BO,1760, 3,130,162
AH,001,,BO,1760, 4,125,165
AH,001,,BO,1760, 5,120,165
AH,001,,BO,1760, 6,120,159
AH,001,,BO,1760, 7,120,155
AH,001,,BO,1760, 8,120,155
AH,001,,BO,1760, 9,120,154
AH,001,,BO,1760,10,120,147
AH,001,,BO,1760,11,120,149
AH,001,,BO,1760,12,120,152
AH,001,,BO,1761, 1,120,153
AH,001,,BO,1761, 2,120,153
AH,001,,BO,1761, 3,120,153
AH,001,,BO,1761, 4,120,153
AH,001,,BO,1761, 5,120,150
AH,001,,BO,1761, 6,129,159
AH,001,,BO,1761, 7,102,160
AH,001,,BO,1761, 8,127,170
AH,001,,BO,1761, 9,127,164
AH,001,,BO,1761,10,127,160
AH,001,,BO,1761,11,127,160
AH,001,,BO,1761,12,127,160
AH,001,,BO,1762, 1,127,162
AH,001,,BO,1762, 2,127,170
AH,001,,BO,1762, 4,127,170
AH,001,,BO,1762, 5,127,170
AH,001,,BO,1762, 6,127,170
AH,001,,BO,1762, 7,125,170
AH,001,,BO,1762, 8,116,170
AH,001,,BO,1762, 9,110,170
AH,001,,BO,1762,10,110,170
AH,001,,BO,1762,11,110,160
AH,001,,BO,1762,12,110,150
AH,001,,BO,1763, 1,110,150
AH,001,,BO,1763, 2,110,150
AH,001,,BO,1763, 3,110,150
AH,001,,BO,1763, 4,110,150
AH,001,,BO,1763, 5,110,150
AH,001,,BO,1763, 6,110,150
AH,001,,BO,1763, 7,110,150
AH,001,,BO,1763, 8,110,150
AH,001,,BO,1763, 9,107,150
AH,001,,BO,1763,10,106,150
AH,001,,BO,1763,11,106,150
AH,001,,BO,1763,12,106,150
AH,001,,BO,1764, 1,106,150
AH,001,,BO,1764, 2,106,150
AH,001,,BO,1764, 3,106,150
AH,001,,BO,1764, 4,106,150
AH,001,,BO,1764, 5,106,150
AH,001,,BO,1764, 6,106,140
AH,001,,BO,1764, 7,106,140
AH,001,,BO,1764, 8,106,140
AH,001,,BO,1764, 9,106,140
AH,001,,BO,1764,10,106,140
AH,001,,BO,1764,11,106,140
AH,001,,BO,1764,12,106,140
AH,001,,BO,1765, 1,106,141
AH,001,,BO,1765, 2,119,148
AH,001,,BO,1765, 3,133,158
AH,001,,BO,1765, 4,114,156
AH,001,,BO,1765, 5,120,158
AH,001,,BO,1765, 6,120,155
AH,001,,BO,1765, 7,120,154
AH,001,,BO,1765, 8,120,153
AH,001,,BO,1765, 9,120,153
AH,001,,BO,1765,10,120,153
AH,001,,BO,1765,11,120,153
AH,001,,BO,1765,12,120,153
AH,001,,BO,1766, 1,120,153
AH,001,,BO,1766, 2,134,158
AH,001,,BO,1766, 3,140,163
AH,001,,BO,1766, 4,140,169
AH,001,,BO,1766, 5,140,163
AH,001,,BO,1766, 6,140,160
AH,001,,BO,1766, 7,140,160
AH,001,,BO,1766, 8,140,157
AH,001,,BO,1766, 9,140,156
AH,001,,BO,1766,10,140,156
AH,001,,BO,1766,11,140,152
AH,001,,BO,1766,12,140,152
AH,001,,BO,1767, 1,140,152
AH,001,,BO,1767, 2,140,152
AH,001,,BO,1767, 3,130,161
AH,001,,BO,1767, 4,130,161
AH,001,,BO,1767, 5,130,160
AH,001,,BO,1767, 6,130,154
AH,001,,BO,1767, 7,130,156
AH,001,,BO,1767, 8,133,156
AH,001,,BO,1767, 9,140,156
AH,001,,BO,1767,10,140,156
AH,001,,BO,1767,11,140,156
AH,001,,BO,1767,12,140,156
AH,001,,BO,1768, 1,140,156
AH,001,,BO,1768, 2,140,158
AH,001,,BO,1768, 3,140,160
AH,001,,BO,1768, 4,140,160
AH,001,,BO,1768, 5,135,160
AH,001,,BO,1768, 6,130,160
AH,001,,BO,1768, 7,130,160
AH,001,,BO,1768, 8,130,160
AH,001,,BO,1768, 9,120,146
AH,001,,BO,1768,10,120,146
AH,001,,BO,1768,11,120,146
AH,001,,BO,1768,12,120,146
AH,001,,BO,1769, 1,120,149
AH,001,,BO,1769, 4,120,160
AH,001,,BO,1769, 5,120,162
AH,001,,BO,1769, 6,120,162
AH,001,,BO,1769, 7,120,165
AH,001,,BO,1769, 8,120,155
AH,001,,BO,1769, 9,120,155
AH,001,,BO,1769,10,120,155
AH,001,,BO,1769,11,120,155
AH,001,,BO,1769,12,120,155
AH,001,,BO,1770, 1,121,155
AH,001,,BO,1770, 2,124,156
AH,001,,BO,1770, 3,124,160
AH,001,,BO,1770, 5,126,160
AH,001,,BO,1770, 6,126,160
AH,001,,BO,1770, 8,126,160
AH,001,,BO,1770, 9,126,160
AH,001,,BO,1770,10,126,158
AH,001,,BO,1770,11,126,155
AH,001,,BO,1770,12,126,155
AH,001,,BO,1771, 1,126,155
AH,001,,BO,1771, 2,126,155
AH,001,,BO,1771, 3,126,155
AH,001,,BO,1771, 4,124,153
AH,001,,BO,1771, 5,121,151
AH,001,,BO,1771, 6,115,150
AH,001,,BO,1771, 7,109,150
AH,001,,BO,1771, 8,109,150
AH,001,,BO,1771, 9,110,146
AH,001,,BO,1771,10,108,141
AH,001,,BO,1771,11,107,140
AH,001,,BO,1771,12,102,140
AH,001,,BO,1772, 1,109,144
AH,001,,BO,1772, 2,110,145
AH,001,,BO,1772, 3,119,145
AH,001,,BO,1772, 4,120,145
AH,001,,BO,1772, 5,120,142
AH,001,,BO,1772, 6,120,142
AH,001,,BO,1772, 7,120,142
AH,001,,BO,1772, 8,120,142
AH,001,,BO,1772, 9,120,142
AH,001,,BO,1772,10,120,142
AH,001,,BO,1772,11,120,142
AH,001,,BO,1772,12,120,142
AH,001,,BO,1773, 1,120,142
AH,001,,BO,1773, 2,120,142
AH,001,,BO,1773, 3,120,142
AH,001,,BO,1773, 4,120,142
AH,001,,BO,1773, 5,120,142
AH,001,,BO,1773, 6,120,142
AH,001,,BO,1773, 7,120,145
AH,001,,BO,1773, 8,120,150
AH,001,,BO,1773, 9,120,150
AH,001,,BO,1773,10,120,150
AH,001,,BO,1773,11,120,150
AH,001,,BO,1773,12,120,150
AH,001,,BO,1774, 1,120,150
AH,001,,BO,1774, 2,120,150
AH,001,,BO,1774, 3,120,150
AH,001,,BO,1774, 4,120,150
AH,001,,BO,1774, 5,120,150
AH,001,,BO,1774, 6,120,150
AH,001,,BO,1774, 7,120,157
AH,001,,BO,1774, 8,120,160
AH,001,,BO,1774, 9,120,160
AH,001,,BO,1774,10,120,160
AH,001,,BO,1774,11,120,160
AH,001,,BO,1774,12,120,160
AH,001,,BO,1775, 1,120,160
AH,001,,BO,1775, 2,120,160
AH,001,,BO,1775, 3,120,160
AH,001,,BO,1775, 4,120,160
AH,001,,BO,1775, 5,120,160
AH,001,,BO,1775, 6,120,160
AH,001,,BO,1775, 7,120,160
AH,001,,BO,1775, 8,120,160
AH,001,,BO,1775, 9,120,160
AH,001,,BO,1775,10,120,160
AH,001,,BO,1775,11,120,160
AH,001,,BO,1775,12,120,160
AH,001,,BO,1776, 1,120,160
AH,001,,BO,1776, 2,120,160
AH,001,,BO,1776, 3,120,160
AH,001,,BO,1776, 4,122,160
AH,001,,BO,1776, 5,125,160
AH,001,,BO,1776, 6,125,160
AH,001,,BO,1776, 7,125,160
AH,001,,BO,1776, 8,122,160
AH,001,,BO,1776, 9,120,160
AH,001,,BO,1776,10,120,160
AH,001,,BO,1776,11,120,160
AH,001,,BO,1776,12,120,160
AH,001,,BO,1777, 1,120,160
AH,001,,BO,1777, 2,120,160
AH,001,,BO,1777, 3,120,160
AH,001,,BO,1777, 4,120,160
AH,001,,BO,1777, 5,120,160
AH,001,,BO,1777, 6,120,160
AH,001,,BO,1777, 7,120,160
AH,001,,BO,1777, 8,120,160
AH,001,,BO,1777, 9,120,160
AH,001,,BO,1777,10,120,160
AH,001,,BO,1777,11,120,160
AH,001,,BO,1777,12,120,160
AH,001,,BO,1778, 1,120,160
AH,001,,BO,1778, 2,120,160
AH,001,,BO,1778, 3,120,160
AH,001,,BO,1778, 4,120,160
AH,001,,BO,1778, 5,120,160
AH,001,,BO,1778, 6,120,162
AH,001,,BO,1778, 7,120,170
AH,001,,BO,1778, 8,120,167
AH,001,,BO,1778, 9,120,160
AH,001,,BO,1778,10,122,160
AH,001,,BO,1778,11,126,164
AH,001,,BO,1778,12,129,177
AH,001,,BO,1779, 1,133,185
AH,001,,BO,1779, 2,135,182
AH,001,,BO,1779, 3,135,178
AH,001,,BO,1779, 4,135,178
AH,001,,BO,1779, 5,135,178
AH,001,,BO,1779, 6,135,178
AH,001,,BO,1779, 7,135,178
AH,001,,BO,1779, 8,135,178
AH,001,,BO,1779, 9,132,178
AH,001,,BO,1779,10,130,178
AH,001,,BO,1779,11,130,178
AH,001,,BO,1779,12,130,178
AH,001,,BO,1780, 1,130,178
AH,001,,BO,1780, 2,130,178
AH,001,,BO,1780, 3,130,180
AH,001,,BO,1780, 5,135,180
AH,001,,BO,1780, 6,135,180
AH,001,,BO,1780, 7,135,180
AH,001,,BO,1780, 8,135,180
AH,001,,BO,1780, 9,135,180
AH,001,,BO,1780,10,136,178
AH,001,,BO,1780,11,136,178
AH,001,,BO,1780,12,136,178
AH,001,,BO,1781, 1,136,178
AH,001,,BO,1781, 2,136,178
AH,001,,BO,1781, 4,136,178
AH,001,,BO,1781, 5,136,178
AH,001,,BO,1781, 6,136,178
AH,001,,BO,1781, 7,136,178
AH,001,,BO,1781, 8,136,178
AH,001,,BO,1781, 9,136,178
AH,001,,BO,1781,10,136,178
AH,001,,BO,1781,11,136,178
AH,001,,BO,1781,12,136,178
AH,001,,BO,1782, 1,136,178
AH,001,,BO,1782, 2,136,178
AH,001,,BO,1782, 3,136,178
AH,001,,BO,1782, 4,136,178
AH,001,,BO,1782, 5,136,176
AH,001,,BO,1782, 6,136,175
AH,001,,BO,1782, 7,136,175
AH,001,,BO,1782, 8,129,175
AH,001,,BO,1782, 9,126,171
AH,001,,BO,1782,10,126,170
AH,001,,BO,1782,11,126,170
AH,001,,BO,1782,12,126,171
AH,001,,BO,1783, 1,126,175
AH,001,,BO,1783, 2,126,175
AH,001,,BO,1783, 4,126,175
AH,001,,BO,1783, 6,126,175
AH,001,,BO,1783, 7,126,181
AH,001,,BO,1783, 8,130,183
AH,001,,BO,1783, 9,130,183
AH,001,,BO,1783,11,132,186
AH,001,,BO,1783,12,132,186
AH,001,,BO,1784, 1,132,186
AH,001,,BO,1784, 2,132,186
AH,001,,BO,1784, 3,134,188
AH,001,,BO,1784, 4,138,192
AH,001,,BO,1784, 5,138,189
AH,001,,BO,1784, 6,138,189
AH,001,,BO,1784, 7,134,186
AH,001,,BO,1784, 8,134,178
AH,001,,BO,1784, 9,138,175
AH,001,,BO,1784,10,138,175
AH,001,,BO,1784,11,138,175
AH,001,,BO,1784,12,138,175
AH,001,,BO,1785, 1,138,175
AH,001,,BO,1785, 2,138,175
AH,001,,BO,1785, 3,138,175
AH,001,,BO,1785, 6,138,175
AH,001,,BO,1785, 7,143,179
AH,001,,BO,1785, 8,161,197
AH,001,,BO,1785, 9,164,227
AH,001,,BO,1785,10,170,239
AH,001,,BO,1785,11,170,240
AH,001,,BO,1785,12,171,240
AH,001,,BO,1786, 1,190,240
AH,001,,BO,1786, 4,190,240
AH,001,,BO,1786, 5,188,240
AH,001,,BO,1786, 6,180,240
AH,001,,BO,1786, 9,180,207
AH,001,,BO,1786,10,180,200
AH,001,,BO,1786,11,177,200
AH,001,,BO,1786,12,170,200
AH,001,,BO,1787, 1,170,200
AH,001,,BO,1787, 2,170,204
AH,001,,BO,1787, 3,170,210
AH,001,,BO,1787, 4,170,206
AH,001,,BO,1787, 5,170,195
AH,001,,BO,1787, 6,167,187
AH,001,,BO,1787, 7,165,185
AH,001,,BO,1787, 8,165,185
AH,001,,BO,1787, 9,165,185
AH,001,,BO,1787,10,168,185
AH,001,,BO,1787,11,170,185
AH,001,,BO,1788, 1,170,185
AH,001,,BO,1788, 2,150,185
AH,001,,BO,1788, 3,145,185
AH,001,,BO,1788, 5,145,185
AH,001,,BO,1788, 6,145,185
AH,001,,BO,1788, 7,145,185
AH,001,,BO,1788,10,145,185
AH,001,,BO,1788,11,145,185
AH,001,,BO,1788,12,145,185
AH,001,,BO,1789, 1,145,185
AH,001,,BO,1789, 2,145,186
AH,001,,BO,1789, 3,147,190
AH,001,,BO,1789, 4,160,190
AH,001,,BO,1789, 5,160,190
AH,001,,BO,1790, 1,120,200
AH,001,,BO,1790, 2,120,200
AH,001,,BO,1790, 3,120,200
AH,001,,BO,1790, 4,120,200
AH,001,,BO,1790, 5,120,200
AH,001,,BO,1790, 8,115,190
AH,001,,BO,1790, 9,115,190
AH,001,,BO,1790,10,115,186
AH,001,,BO,1790,11,119,177
AH,001,,BO,1790,12,120,167
AH,001,,BO,1791, 6,128,177
AH,001,,BO,1792, 3,140,180
AH,001,,BO,1792, 5,140,185
AH,001,,BO,1792, 6,144,185
AH,001,,BO,1792, 7,152,185
AH,001,,BO,1792, 8,155,185
AH,001,,BO,1792,11,150,185
AH,001,,BO,1792,12,150,185
AH,001,,BO,1793, 1,160,185
AH,001,,BO,1793, 2,160,184
AH,001,,BO,1793, 3,160,183
AH,001,,BO,1793, 4,160,183
AH,001,,BO,1793, 5,160,183
AH,001,,BO,1793, 6,162,185
AH,001,,BO,1793,12,155,190
AH,001,,BO,1794, 1,160,187
AH,001,,BO,1794, 8,160,190
AH,001,,BO,1794, 9,158,188
AH,001,,BO,1794,10,147,183
AH,001,,BO,1794,11,140,190
AH,001,,BO,1794,12,140,190
AH,001,,BO,1795, 1,140,190
AH,001,,BO,1795, 2,143,195
AH,001,,BO,1795, 3,143,195
AH,001,,BO,1795, 4,142,195
AH,001,,BO,1795, 8,151,191
AH,001,,BO,1795, 9,149,190
AH,001,,BO,1795,10,146,188
AH,001,,BO,1795,11,145,187
AH,001,,BO,1795,12,143,179
AH,001,,BO,1796, 1,144,178
AH,001,,BO,1796, 2,147,176
AH,001,,BO,1796, 3,147,175
AH,001,,BO,1796, 4,150,175
AH,001,,BO,1796, 5,151,175
AH,001,,BO,1796, 6,148,178
AH,001,,BO,1796, 7,148,180
AH,001,,BO,1796, 8,150,182
AH,001,,BO,1796, 9,152,182
AH,001,,BO,1796,10,153,182
AH,001,,BO,1796,11,152,180
AH,001,,BO,1796,12,152,178
AH,001,,BO,1797, 1,154,176
AH,001,,BO,1797, 2,154,175
AH,001,,BO,1797, 3,154,173
AH,001,,BO,1797, 4,154,173
AH,001,,BO,1797, 5,154,173
AH,001,,BO,1797, 6,154,173
AH,001,,BO,1797, 7,154,173
AH,001,,BO,1798, 2,148,156
AH,001,,BO,1798, 3,148,154
AH,001,,BO,1798, 4,148,151
AH,001,,BO,1798, 5,147,151
AH,001,,BO,1798, 6,148,153
AH,001,,BO,1798, 7,148,154
AH,001,,BO,1798, 8,147,153
AH,001,,BO,1798, 9,145,150
AH,001,,BO,1798,10,143,147
AH,001,,BO,1798,11,142,145
AH,001,,BO,1798,12,140,143
AH,001,,BO,1799, 1,140,143
AH,001,,BO,1799, 2,140,142
AH,001,,BO,1799, 3,138,140
AH,001,,BO,1799, 4,138,140
AH,001,,BO,1799, 5,138,141
AH,001,,BO,1799, 6,140,143
AH,001,,BO,1799, 7,140,143
AH,001,,BO,1799, 8,139,141
AH,001,,BO,1799, 9,138,140
AH,001,,BO,1799,10,136,138
AH,001,,BO,1799,11,135,137
AH,001,,BO,1799,12,134,137
AH,001,,BO,1800, 1,133,135
AH,001,,BO,1800, 2,133,136
AH,001,,BO,1800, 3,133,135
AH,001,,BO,1800, 4,132,135
AH,001,,BO,1800, 5,134,137
AH,001,,BO,1800, 6,135,138
AH,001,,BO,1800, 7,135,142
AH,001,,BO,1800, 8,135,142
AH,001,,BO,1800, 9,136,142
AH,001,,BO,1800,10,135,140
AH,001,,BO,1800,11,134,139
AH,001,,BO,1800,12,135,137
AH,001,,BO,1801, 1,135,136
AH,001,,BO,1801, 2,135,136
AH,001,,BO,1801, 3,135,137
AH,001,,BO,1801, 4,136,138
AH,001,,BO,1801, 5,135,139
AH,001,,BO,1801, 6,135,138
AH,001,,BO,1801, 7,135,139
AH,001,,BO,1801, 8,135,138
AH,001,,BO,1801, 9,135,137
AH,001,,BO,1801,10,134,137
AH,001,,BO,1801,11,134,136
AH,001,,BO,1801,12,133,135
AH,001,,BO,1802, 1,132,135
AH,001,,BO,1802, 2,130,137
AH,001,,BO,1802, 4,132,143
AH,001,,BO,1802, 5,132,143
AH,001,,BO,1802, 6,132,145
AH,001,,BO,1802, 7,132,145
AH,001,,BO,1802, 8,132,147
AH,001,,BO,1802, 9,132,147
AH,001,,BO,1802,10,134,147
AH,001,,BO,1802,11,135,147
AH,001,,BO,1802,12,135,147
AH,001,,BO,1803, 1,135,146
AH,001,,BO,1803, 2,134,145
AH,001,,BO,1803, 4,140,148
AH,001,,BO,1803, 5,141,149
AH,001,,BO,1803, 6,142,151
AH,001,,BO,1803, 7,141,151
AH,001,,BO,1803, 8,140,150
AH,001,,BO,1803, 9,141,152
AH,001,,BO,1803,10,141,155
AH,001,,BO,1803,11,140,158
AH,001,,BO,1803,12,140,160
AH,001,,BO,1805, 7,206,318
AH,001,,BO,1806, 2,190,323
AH,001,,BO,1806, 3,190,323
AH,001,,BO,1806, 4,190,327
AH,001,,BO,1806, 5,190,333
AH,001,,BO,1806, 6,190,313
AH,001,,BO,1806, 7,190,313
AH,001,,BO,1807, 4,136,270
AH,001,,BO,1807,10,146,235
AH,001,,BO,1807,12,145,231
AH,001,,BO,1808, 1,140,240
AH,001,,BO,1808, 4,150,265
AH,001,,BO,1808, 7,160,255
AH,001,,BO,1808, 8,160,255
AH,001,,BO,1808, 9,160,255
AH,001,,BO,1808,11,160,240
AH,001,,BO,1808,12,160,240
AH,001,,BO,1809, 1,160,240
AH,001,,BO,1809, 2,160,240
AH,001,,BO,1809, 3,160,235
AH,001,,BO,1809, 4,160,230
AH,001,,BO,1809, 5,160,230
AH,001,,BO,1809, 6,160,230
AH,001,,BO,1809, 7,171,230
AH,001,,BO,1809, 8,178,230
AH,001,,BO,1809, 9,160,230
AH,001,,BO,1809,10,160,230
AH,001,,BO,1809,11,160,230
AH,001,,BO,1809,12,160,230
AH,001,,BO,1810, 1,160,230
AH,001,,BO,1810, 2,160,230
AH,001,,BO,1810, 3,160,230
AH,001,,BO,1810, 4,160,230
AH,001,,BO,1810, 5,160,230
AH,001,,BO,1810, 6,160,230
AH,001,,BO,1810, 7,160,230
AH,001,,BO,1810, 8,160,230
AH,001,,BO,1810, 9,160,230
AH,001,,BO,1810,10,160,229
AH,001,,BO,1810,11,160,220
AH,001,,BO,1810,12,160,220
AH,001,,BO,1811, 1,160,220
AH,001,,BO,1811, 2,160,220
AH,001,,BO,1811, 3,160,220
AH,001,,BO,1811, 4,160,223
AH,001,,BO,1811, 5,160,236
AH,001,,BO,1811, 6,160,247
